update,total number of tasks solved
153300,22899
153400,22607
153500,23182
153600,22978
153700,22505
153800,22871
153900,22427
154000,22469
154100,22769
154200,22847
154300,22743
154400,22950
154500,22491
154600,22965
154700,23089
154800,22955
154900,22764
155000,22954
155100,23026
155200,23249
155300,22438
155400,22259
155500,23211
155600,23475
155700,22445
155800,22698
155900,22938
156000,22672
156100,22445
156200,22251
156300,22625
156400,22420
156500,22782
156600,22699
156700,23013
156800,22724
156900,22613
157000,22907
157100,23031
157200,22611
157300,22983
157400,22980
157500,22676
157600,22740
157700,22501
157800,22842
157900,22856
158000,22541
158100,22942
158200,22406
158300,22281
158400,22619
158500,22670
158600,22462
158700,22396
158800,23190
158900,22863
159000,22799
159100,22222
159200,22873
159300,22902
159400,23142
159500,22796
159600,22953
159700,22885
159800,22853
159900,22937
160000,22571
160100,22712
160200,22696
160300,22615
160400,22909
160500,22300
160600,22335
160700,22614
160800,22720
160900,22983
161000,22723
161100,23010
161200,23049
161300,22889
161400,22676
161500,22554
161600,22583
161700,22791
161800,22499
161900,23509
162000,22573
162100,22941
162200,23024
162300,22468
162400,22363
162500,22399
162600,22740
162700,22992
162800,23084
162900,22648
163000,22582
163100,22600
163200,22966
163300,22648
163400,22678
163500,22617
163600,22874
163700,23373
163800,22511
163900,22269
164000,22274
164100,22519
164200,22948
164300,22511
164400,22804
164500,22696
164600,22434
164700,22382
164800,23168
164900,22916
165000,22916
165100,23071
165200,22160
165300,22721
165400,22245
165500,22787
165600,22713
165700,22659
165800,23003
165900,22673
166000,22851
166100,22709
166200,23113
166300,22900
166400,22672
166500,22447
166600,22713
166700,22838
166800,22427
166900,22556
167000,22813
167100,22099
167200,22772
167300,22158
167400,22727
167500,22595
167600,22544
167700,22725
167800,22977
167900,22730
168000,22824
168100,22931
168200,22664
168300,22380
168400,22699
168500,22784
168600,22534
168700,22866
168800,22569
168900,22437
169000,22197
169100,22141
169200,22692
169300,22687
169400,22384
169500,22591
169600,22613
169700,22346
169800,23083
169900,23233
170000,22808
170100,22394
170200,22629
170300,23085
170400,22612
170500,22988
170600,22582
170700,22547
170800,22753
170900,22611
171000,22872
171100,22632
171200,22712
171300,22598
171400,22260
171500,22370
171600,22575
171700,22913
171800,22413
171900,22152
172000,22483
172100,22492
172200,22831
172300,22721
172400,22685
172500,22727
172600,22626
172700,22829
172800,22595
172900,22701
173000,23293
173100,22100
173200,22732
173300,22494
173400,22818
173500,22298
173600,22067
173700,22825
173800,22645
173900,22768
174000,22700
174100,22669
174200,22740
174300,22399
174400,22585
174500,22918
174600,23067
174700,22869
174800,22737
174900,22936
175000,22401
175100,22579
175200,22385
175300,22767
175400,22724
175500,22533
175600,22866
175700,22886
175800,22938
175900,22259
176000,22918
176100,23153
176200,22329
176300,22779
176400,22780
176500,22385
176600,22720
176700,22504
176800,22586
176900,22833
177000,23048
177100,22762
177200,22792
177300,23138
177400,22617
177500,22423
177600,22811
177700,22680
177800,22465
177900,22719
178000,22382
178100,22088
178200,23085
178300,22701
178400,22455
178500,22534
178600,22663
178700,23037
178800,22428
178900,22717
179000,22691
179100,22316
179200,23001
179300,22774
179400,22560
179500,22625
179600,22526
179700,22760
179800,23240
179900,22805
180000,22851
180100,22836
180200,22694
180300,22224
180400,22703
180500,22504
180600,22942
180700,22701
180800,22381
180900,22938
181000,22447
181100,22711
181200,22666
181300,22818
181400,22658
181500,22474
181600,22837
181700,22692
181800,22819
181900,22540
182000,22408
182100,22287
182200,22769
182300,22860
182400,22768
182500,22933
182600,22355
182700,23083
182800,22889
182900,23149
183000,22918
183100,22606
183200,22666
183300,22603
183400,22685
183500,22520
183600,22557
183700,22585
183800,22568
183900,22175
184000,22746
184100,22696
184200,22584
184300,22417
184400,22544
184500,22248
184600,22771
184700,23248
184800,22760
184900,22679
185000,22981
185100,22796
185200,22835
185300,22590
185400,22806
185500,22664
185600,22250
185700,22446
185800,22821
185900,23023
186000,22615
186100,22436
186200,22016
186300,22664
186400,22351
186500,22512
186600,22615
186700,22954
186800,22734
186900,22785
187000,22753
187100,22960
187200,22391
187300,22534
187400,22594
187500,22812
187600,23064
187700,22760
187800,22622
187900,22730
188000,22988
188100,22457
188200,22965
188300,22931
